episode: 118 | reward: -20.0 | mean_reward: -20.19 | epsilon: 0.89 | speed: 96.49 frames/s
episode: 119 | reward: -20.0 | mean_reward: -20.19 | epsilon: 0.89 | speed: 94.98 frames/s
episode: 120 | reward: -18.0 | mean_reward: -20.16 | epsilon: 0.89 | speed: 95.99 frames/s
episode: 121 | reward: -21.0 | mean_reward: -20.16 | epsilon: 0.88 | speed: 95.78 frames/s
episode: 122 | reward: -20.0 | mean_reward: -20.16 | epsilon: 0.88 | speed: 97.04 frames/s
episode: 123 | reward: -20.0 | mean_reward: -20.15 | epsilon: 0.88 | speed: 95.05 frames/s
episode: 124 | reward: -17.0 | mean_reward: -20.13 | epsilon: 0.88 | speed: 96.52 frames/s
episode: 125 | reward: -20.0 | mean_reward: -20.12 | epsilon: 0.88 | speed: 96.97 frames/s
episode: 126 | reward: -21.0 | mean_reward: -20.13 | epsilon: 0.88 | speed: 97.14 frames/s
episode: 127 | reward: -21.0 | mean_reward: -20.13 | epsilon: 0.88 | speed: 95.81 frames/s
episode: 128 | reward: -21.0 | mean_reward: -20.13 | epsilon: 0.88 | speed: 95.17 frames/s
episode: 129 | reward: -20.0 | mean_reward: -20.13 | epsilon: 0.88 | speed: 96.29 frames/s
episode: 130 | reward: -19.0 | mean_reward: -20.11 | epsilon: 0.88 | speed: 96.29 frames/s
episode: 131 | reward: -20.0 | mean_reward: -20.10 | epsilon: 0.87 | speed: 96.84 frames/s
episode: 132 | reward: -20.0 | mean_reward: -20.10 | epsilon: 0.87 | speed: 96.73 frames/s
episode: 133 | reward: -20.0 | mean_reward: -20.09 | epsilon: 0.87 | speed: 96.41 frames/s
episode: 134 | reward: -20.0 | mean_reward: -20.09 | epsilon: 0.87 | speed: 95.98 frames/s
episode: 135 | reward: -20.0 | mean_reward: -20.08 | epsilon: 0.87 | speed: 96.40 frames/s
episode: 136 | reward: -19.0 | mean_reward: -20.06 | epsilon: 0.87 | speed: 95.55 frames/s
episode: 137 | reward: -21.0 | mean_reward: -20.07 | epsilon: 0.87 | speed: 97.29 frames/s
episode: 138 | reward: -20.0 | mean_reward: -20.08 | epsilon: 0.87 | speed: 96.87 frames/s
episode: 139 | reward: -21.0 | mean_reward: -20.08 | epsilon: 0.87 | speed: 95.96 frames/s
episode: 140 | reward: -19.0 | mean_reward: -20.06 | epsilon: 0.87 | speed: 96.70 frames/s
episode: 141 | reward: -21.0 | mean_reward: -20.08 | epsilon: 0.86 | speed: 96.67 frames/s
episode: 142 | reward: -21.0 | mean_reward: -20.08 | epsilon: 0.86 | speed: 94.84 frames/s
episode: 143 | reward: -21.0 | mean_reward: -20.09 | epsilon: 0.86 | speed: 95.58 frames/s
episode: 144 | reward: -18.0 | mean_reward: -20.07 | epsilon: 0.86 | speed: 97.21 frames/s
episode: 145 | reward: -20.0 | mean_reward: -20.06 | epsilon: 0.86 | speed: 96.87 frames/s
episode: 146 | reward: -21.0 | mean_reward: -20.08 | epsilon: 0.86 | speed: 95.82 frames/s
episode: 147 | reward: -21.0 | mean_reward: -20.10 | epsilon: 0.86 | speed: 95.85 frames/s
episode: 148 | reward: -21.0 | mean_reward: -20.11 | epsilon: 0.86 | speed: 96.44 frames/s
episode: 149 | reward: -17.0 | mean_reward: -20.07 | epsilon: 0.86 | speed: 95.10 frames/s
episode: 150 | reward: -20.0 | mean_reward: -20.06 | epsilon: 0.86 | speed: 97.01 frames/s
episode: 151 | reward: -21.0 | mean_reward: -20.06 | epsilon: 0.85 | speed: 96.82 frames/s
episode: 152 | reward: -21.0 | mean_reward: -20.06 | epsilon: 0.85 | speed: 95.14 frames/s
episode: 153 | reward: -20.0 | mean_reward: -20.06 | epsilon: 0.85 | speed: 96.03 frames/s
episode: 154 | reward: -21.0 | mean_reward: -20.06 | epsilon: 0.85 | speed: 95.37 frames/s
episode: 155 | reward: -17.0 | mean_reward: -20.03 | epsilon: 0.85 | speed: 95.52 frames/s
episode: 156 | reward: -19.0 | mean_reward: -20.02 | epsilon: 0.85 | speed: 95.95 frames/s
episode: 157 | reward: -21.0 | mean_reward: -20.04 | epsilon: 0.85 | speed: 95.39 frames/s
episode: 158 | reward: -20.0 | mean_reward: -20.03 | epsilon: 0.85 | speed: 95.53 frames/s
episode: 159 | reward: -20.0 | mean_reward: -20.04 | epsilon: 0.85 | speed: 96.80 frames/s
episode: 160 | reward: -19.0 | mean_reward: -20.02 | epsilon: 0.84 | speed: 96.11 frames/s
episode: 161 | reward: -18.0 | mean_reward: -20.00 | epsilon: 0.84 | speed: 95.46 frames/s
episode: 162 | reward: -18.0 | mean_reward: -19.99 | epsilon: 0.84 | speed: 95.47 frames/s
episode: 163 | reward: -21.0 | mean_reward: -20.00 | epsilon: 0.84 | speed: 95.20 frames/s
episode: 164 | reward: -20.0 | mean_reward: -20.02 | epsilon: 0.84 | speed: 96.49 frames/s
episode: 165 | reward: -20.0 | mean_reward: -20.01 | epsilon: 0.84 | speed: 95.42 frames/s
episode: 166 | reward: -20.0 | mean_reward: -20.02 | epsilon: 0.84 | speed: 95.77 frames/s
episode: 167 | reward: -18.0 | mean_reward: -19.99 | epsilon: 0.84 | speed: 96.37 frames/s
episode: 168 | reward: -21.0 | mean_reward: -19.99 | epsilon: 0.84 | speed: 96.44 frames/s
episode: 169 | reward: -20.0 | mean_reward: -19.99 | epsilon: 0.84 | speed: 96.05 frames/s
episode: 170 | reward: -21.0 | mean_reward: -19.99 | epsilon: 0.83 | speed: 95.91 frames/s
episode: 171 | reward: -17.0 | mean_reward: -19.95 | epsilon: 0.83 | speed: 94.51 frames/s
episode: 172 | reward: -21.0 | mean_reward: -19.96 | epsilon: 0.83 | speed: 96.01 frames/s
episode: 173 | reward: -21.0 | mean_reward: -19.97 | epsilon: 0.83 | speed: 94.89 frames/s
episode: 174 | reward: -20.0 | mean_reward: -19.98 | epsilon: 0.83 | speed: 95.88 frames/s
episode: 175 | reward: -20.0 | mean_reward: -19.97 | epsilon: 0.83 | speed: 95.49 frames/s
episode: 176 | reward: -18.0 | mean_reward: -19.96 | epsilon: 0.83 | speed: 96.54 frames/s
episode: 177 | reward: -18.0 | mean_reward: -19.93 | epsilon: 0.83 | speed: 95.42 frames/s
episode: 178 | reward: -21.0 | mean_reward: -19.93 | epsilon: 0.83 | speed: 95.12 frames/s
episode: 179 | reward: -21.0 | mean_reward: -19.97 | epsilon: 0.82 | speed: 95.84 frames/s
episode: 180 | reward: -20.0 | mean_reward: -19.96 | epsilon: 0.82 | speed: 95.76 frames/s
episode: 181 | reward: -21.0 | mean_reward: -19.98 | epsilon: 0.82 | speed: 95.86 frames/s
episode: 182 | reward: -19.0 | mean_reward: -19.97 | epsilon: 0.82 | speed: 96.65 frames/s
episode: 183 | reward: -21.0 | mean_reward: -19.97 | epsilon: 0.82 | speed: 95.25 frames/s
episode: 184 | reward: -19.0 | mean_reward: -19.96 | epsilon: 0.82 | speed: 95.96 frames/s
episode: 185 | reward: -21.0 | mean_reward: -19.96 | epsilon: 0.82 | speed: 96.05 frames/s
episode: 186 | reward: -18.0 | mean_reward: -19.95 | epsilon: 0.82 | speed: 95.60 frames/s
episode: 187 | reward: -17.0 | mean_reward: -19.92 | epsilon: 0.82 | speed: 95.63 frames/s
episode: 188 | reward: -20.0 | mean_reward: -19.91 | epsilon: 0.81 | speed: 96.02 frames/s
episode: 189 | reward: -19.0 | mean_reward: -19.90 | epsilon: 0.81 | speed: 95.72 frames/s
episode: 190 | reward: -21.0 | mean_reward: -19.92 | epsilon: 0.81 | speed: 95.00 frames/s
episode: 191 | reward: -19.0 | mean_reward: -19.93 | epsilon: 0.81 | speed: 95.73 frames/s
episode: 192 | reward: -21.0 | mean_reward: -19.93 | epsilon: 0.81 | speed: 96.15 frames/s
