episode: 164 | reward: -21.0 | mean_reward: -19.84 | epsilon: 0.85 | speed: 86.06 frames/s
episode: 165 | reward: -20.0 | mean_reward: -19.84 | epsilon: 0.85 | speed: 87.14 frames/s
episode: 166 | reward: -20.0 | mean_reward: -19.83 | epsilon: 0.85 | speed: 86.14 frames/s
episode: 167 | reward: -18.0 | mean_reward: -19.80 | epsilon: 0.84 | speed: 80.92 frames/s
episode: 168 | reward: -19.0 | mean_reward: -19.78 | epsilon: 0.84 | speed: 80.48 frames/s
episode: 169 | reward: -19.0 | mean_reward: -19.77 | epsilon: 0.84 | speed: 76.59 frames/s
episode: 170 | reward: -21.0 | mean_reward: -19.78 | epsilon: 0.84 | speed: 76.91 frames/s
episode: 171 | reward: -20.0 | mean_reward: -19.78 | epsilon: 0.84 | speed: 76.29 frames/s
episode: 172 | reward: -21.0 | mean_reward: -19.80 | epsilon: 0.84 | speed: 76.50 frames/s
episode: 173 | reward: -18.0 | mean_reward: -19.78 | epsilon: 0.84 | speed: 77.62 frames/s
episode: 174 | reward: -20.0 | mean_reward: -19.78 | epsilon: 0.84 | speed: 76.71 frames/s
episode: 175 | reward: -17.0 | mean_reward: -19.75 | epsilon: 0.84 | speed: 77.39 frames/s
episode: 176 | reward: -17.0 | mean_reward: -19.72 | epsilon: 0.83 | speed: 77.27 frames/s
episode: 177 | reward: -21.0 | mean_reward: -19.72 | epsilon: 0.83 | speed: 76.56 frames/s
episode: 178 | reward: -21.0 | mean_reward: -19.72 | epsilon: 0.83 | speed: 77.26 frames/s
episode: 179 | reward: -20.0 | mean_reward: -19.73 | epsilon: 0.83 | speed: 76.67 frames/s
episode: 180 | reward: -19.0 | mean_reward: -19.71 | epsilon: 0.83 | speed: 76.55 frames/s
episode: 181 | reward: -19.0 | mean_reward: -19.69 | epsilon: 0.83 | speed: 79.48 frames/s
episode: 182 | reward: -20.0 | mean_reward: -19.69 | epsilon: 0.83 | speed: 76.15 frames/s
